region,year,sex,crude,adj,low,upp,err
CDMX-Edo. de México,2005,hombre,94.05484643,127.6393305,124.319443,130.9592182,1.6938513
CDMX-Edo. de México,2005,mujer,93.94663825,120.2400192,117.3413641,123.138676,1.478933245
CDMX-Edo. de México,2006,hombre,98.97430927,129.0377229,125.8179163,132.2575248,1.642787356
CDMX-Edo. de México,2006,mujer,94.56119597,116.4724468,113.7125422,119.2323428,1.408138269
CDMX-Edo. de México,2007,hombre,117.9559593,148.9211572,145.5744715,152.2678469,1.707525189
CDMX-Edo. de México,2007,mujer,105.3180777,125.2142014,122.4402308,127.9881732,1.415317456
CDMX-Edo. de México,2008,hombre,115.5403948,141.1675825,138.0081582,144.3270025,1.611979678
CDMX-Edo. de México,2008,mujer,106.3166065,122.5373708,119.8687586,125.2059784,1.36156068
CDMX-Edo. de México,2009,hombre,116.9852463,139.6805397,136.617744,142.7433316,1.562678517
CDMX-Edo. de México,2009,mujer,99.20814419,111.4005921,108.9193012,113.8818765,1.265986339
CDMX-Edo. de México,2010,hombre,125.1671588,144.9013012,141.870184,147.9324178,1.546516614
CDMX-Edo. de México,2010,mujer,104.1849104,114.1552231,111.7024543,116.6079854,1.251433969
CDMX-Edo. de México,2011,hombre,129.5749563,146.672118,143.6945558,149.6496876,1.519194211
CDMX-Edo. de México,2011,mujer,111.447325,119.185308,116.7365039,121.6341189,1.249414527
CDMX-Edo. de México,2012,hombre,127.9121906,142.5230526,139.6458944,145.4002139,1.467965649
CDMX-Edo. de México,2012,mujer,107.6418259,112.9315351,110.5953425,115.2677317,1.191957926
CDMX-Edo. de México,2013,hombre,116.2733771,126.6691484,124.0170404,129.3212603,1.353142216
CDMX-Edo. de México,2013,mujer,99.9460028,102.9702835,100.7817883,105.1587857,1.11660147
CDMX-Edo. de México,2014,hombre,136.5757181,146.9411887,144.1343839,149.7479867,1.432067802
CDMX-Edo. de México,2014,mujer,110.1232958,111.5746913,109.3377555,113.8116208,1.141313169
CDMX-Edo. de México,2015,hombre,122.3395082,129.1804947,126.6001939,131.7607979,1.316504768
CDMX-Edo. de México,2015,mujer,97.41822439,97.11447055,95.0633659,99.16557362,1.046500802
CDMX-Edo. de México,2016,hombre,126.0670498,130.9345826,128.3841067,133.4850552,1.301286284
CDMX-Edo. de México,2016,mujer,94.15315684,92.52388845,90.55384775,94.49392575,1.005140439
CDMX-Edo. de México,2017,hombre,122.1556986,125.029136,122.5788526,127.4794182,1.250167315
CDMX-Edo. de México,2017,mujer,90.29368565,87.50483976,85.61865671,89.39102532,0.962356626
CDMX-Edo. de México,2018,hombre,111.1120696,112.2154295,109.9308763,114.499972,1.165607046
CDMX-Edo. de México,2018,mujer,83.37947628,79.92631872,78.14817434,81.70445967,0.907232334
CDMX-Edo. de México,2019,hombre,104.0708143,103.6764239,101.5150341,105.837817,1.102770966
CDMX-Edo. de México,2019,mujer,74.30663414,70.60255157,68.95174903,72.25335718,0.842262489
CDMX-Edo. de México,2020,hombre,64.04303433,63.14469501,61.48067245,64.80872205,0.849007847
CDMX-Edo. de México,2020,mujer,44.3505181,41.93783388,40.67779703,43.19787209,0.642888108
CDMX-Edo. de México,2021,hombre,62.68077714,61.08551752,59.47219153,62.6988488,0.823142
CDMX-Edo. de México,2021,mujer,43.61457249,40.69573188,39.47214569,41.91932029,0.624290715
CDMX-Edo. de México,2022,hombre,85.43348944,82.59452297,80.74179589,84.44724725,0.945285592
CDMX-Edo. de México,2022,mujer,59.10407537,54.59332024,53.19371536,55.99292836,0.714098087
Centro,2005,hombre,125.3829059,143.3944213,138.7460535,148.0427949,2.371661321
Centro,2005,mujer,156.5487816,182.8074222,177.8267134,187.7881199,2.541221875
Centro,2006,hombre,142.1817414,158.74214,153.9666957,163.5175786,2.436494469
Centro,2006,mujer,164.1957709,186.7801766,181.8696035,191.6907448,2.505439261
Centro,2007,hombre,178.4079001,195.6037246,190.4126572,200.7948017,2.648554982
Centro,2007,mujer,195.823547,217.7288756,212.5490941,222.9086651,2.642796244
Centro,2008,hombre,195.8579411,211.2669405,205.9754223,216.5584471,2.699800825
Centro,2008,mujer,211.3124382,230.2722307,225.0572833,235.4871663,2.660733298
Centro,2009,hombre,192.1930716,203.3849712,198.2950747,208.4748836,2.596937702
Centro,2009,mujer,201.1369598,214.4516446,209.5252926,219.3779985,2.513491563
Centro,2010,hombre,177.086902,184.3822771,179.6233051,189.1412428,2.428090011
